,Year,Quantity ('000 tonnes),GHG Scope 1 (ktCo2e),GHG Scope 2 (ktCo2e),GHG Scope 3 ktCo2e,Water Recycled/Reused (ML),Total Op Energy Consumption (TJ),LTIFR,TRIF,SOx (Thousand Tonnes)
0,2010,313.0,410.7575757575758,172.66666666666666,199.0,159447.4,47750.0,0.33429999999999976,0.8754999999999997,3.7130260000000033
1,2011,321.0,402.2727272727273,199.33333333333334,194.0,164905.3,46790.0,0.34089999999999976,0.9026000000000001,3.7130260000000033
2,2012,373.0,437.72727272727275,196.0,197.0,158477.75,46790.0,0.3373999999999998,0.8859999999999997,3.7145880000000027
3,2013,364.0,412.42424242424244,244.66666666666666,198.0,161160.24,45340.0,0.33899999999999975,0.8892999999999996,3.7130260000000033
4,2014,333.0,412.5757575757576,228.66666666666666,199.0,161160.24,45340.0,0.33899999999999975,0.8892999999999996,3.7130260000000033
5,2015,358.0,386.51515151515156,248.66666666666666,190.0,167474.56,45340.0,0.34669999999999973,0.9325000000000003,3.7130260000000033
6,2016,324.0,386.6666666666667,252.66666666666666,197.6325,167474.56,43560.0,0.34669999999999973,0.9325000000000003,3.7130260000000033
7,2017,287.0,406.3636363636364,218.66666666666666,196.095,163907.36,43560.0,0.33459999999999973,0.8899999999999999,3.6750560000000037
8,2018,294.0,393.6363636363637,227.33333333333334,191.075,174688.0,43560.0,0.36,1.01,3.7130260000000033
9,2019,297.0,456.3636363636364,198.66666666666666,182.5,148914.0,42379.0,0.34,0.82,3.853
10,2020,276.0,399.8484848484849,136.0,160.0,157641.0,41379.0,0.29,0.74,3.8122
11,2021,287.0,431.969696969697,46.0,172.5,138812.0,42379.0,0.27,0.64,3.0936
12,2022,270.5,414.0909090909091,78.0,162.5,134131.0,39989.0,0.22,0.53,2.4228
13,2023,230.93577561255347,384.4325470442345,7.952467903894394,176.7995782757451,127737.21165476064,39100.51061066289,0.19167183906842214,0.4659580667104354,2.2182017098265234
14,2024,262.7206036605546,380.3222104661527,59.08561789680178,176.2380349562593,126726.10212584498,40551.29876471423,0.2041870254247145,0.5411370368350527,1.6736236433047225
15,2025,282.3553033729063,328.6091400946011,183.40690903596453,178.92171198212048,138714.20718830294,37903.78244729556,0.25384380795182515,0.7227830970696184,2.185779360065057
16,2026,277.95617995587395,362.8736403634084,179.91821823429993,174.90404157431004,118265.39108843677,38035.61308599201,0.2498884081034823,0.5930282878384211,2.786587558125845
17,2027,311.05724405477486,243.78385711121246,279.3694650285547,162.22379100296257,167992.58563780872,38728.31447987555,0.3208217449430316,1.007165545554662,3.2147188954607344
